timestamp_utc,region,hub,price_usd_mwh
2025-01-01T00:00:00Z,CAISO,NP15,38.50
2025-01-01T01:00:00Z,CAISO,NP15,36.20
2025-01-01T02:00:00Z,CAISO,NP15,35.10
2025-01-01T03:00:00Z,CAISO,NP15,35.00
2025-01-01T04:00:00Z,CAISO,NP15,35.40
2025-01-01T05:00:00Z,CAISO,NP15,37.80
2025-01-01T06:00:00Z,CAISO,NP15,42.60
2025-01-01T07:00:00Z,CAISO,NP15,50.20
2025-01-01T08:00:00Z,CAISO,NP15,54.80
2025-01-01T09:00:00Z,CAISO,NP15,45.30
2025-01-01T10:00:00Z,CAISO,NP15,8.40
2025-01-01T11:00:00Z,CAISO,NP15,-5.20
2025-01-01T12:00:00Z,CAISO,NP15,-12.80
2025-01-01T13:00:00Z,CAISO,NP15,-15.00
2025-01-01T14:00:00Z,CAISO,NP15,22.40
2025-01-01T15:00:00Z,CAISO,NP15,48.60
2025-01-01T16:00:00Z,CAISO,NP15,65.20
2025-01-01T17:00:00Z,CAISO,NP15,78.40
2025-01-01T18:00:00Z,CAISO,NP15,80.00
2025-01-01T19:00:00Z,CAISO,NP15,75.60
2025-01-01T20:00:00Z,CAISO,NP15,62.30
2025-01-01T21:00:00Z,CAISO,NP15,52.10
2025-01-01T22:00:00Z,CAISO,NP15,44.80
2025-01-01T23:00:00Z,CAISO,NP15,40.20
2025-01-02T00:00:00Z,CAISO,NP15,37.90
2025-01-02T01:00:00Z,CAISO,NP15,35.80
2025-01-02T02:00:00Z,CAISO,NP15,35.00
2025-01-02T03:00:00Z,CAISO,NP15,35.00
2025-01-02T04:00:00Z,CAISO,NP15,35.20
2025-01-02T05:00:00Z,CAISO,NP15,37.40
2025-01-02T06:00:00Z,CAISO,NP15,42.10
2025-01-02T07:00:00Z,CAISO,NP15,49.80
2025-01-02T08:00:00Z,CAISO,NP15,54.20
2025-01-02T09:00:00Z,CAISO,NP15,44.70
2025-01-02T10:00:00Z,CAISO,NP15,7.60
2025-01-02T11:00:00Z,CAISO,NP15,-6.40
2025-01-02T12:00:00Z,CAISO,NP15,-13.50
2025-01-02T13:00:00Z,CAISO,NP15,-14.20
2025-01-02T14:00:00Z,CAISO,NP15,21.80
2025-01-02T15:00:00Z,CAISO,NP15,47.90
2025-01-02T16:00:00Z,CAISO,NP15,64.60
2025-01-02T17:00:00Z,CAISO,NP15,77.80
2025-01-02T18:00:00Z,CAISO,NP15,79.40
2025-01-02T19:00:00Z,CAISO,NP15,75.00
2025-01-02T20:00:00Z,CAISO,NP15,61.70
2025-01-02T21:00:00Z,CAISO,NP15,51.50
2025-01-02T22:00:00Z,CAISO,NP15,44.20
2025-01-02T23:00:00Z,CAISO,NP15,39.60
2025-01-03T00:00:00Z,CAISO,NP15,38.80
2025-01-03T01:00:00Z,CAISO,NP15,36.60
2025-01-03T02:00:00Z,CAISO,NP15,35.30
2025-01-03T03:00:00Z,CAISO,NP15,35.00
2025-01-03T04:00:00Z,CAISO,NP15,35.60
2025-01-03T05:00:00Z,CAISO,NP15,38.20
2025-01-03T06:00:00Z,CAISO,NP15,43.00
2025-01-03T07:00:00Z,CAISO,NP15,50.60
2025-01-03T08:00:00Z,CAISO,NP15,55.40
2025-01-03T09:00:00Z,CAISO,NP15,45.90
2025-01-03T10:00:00Z,CAISO,NP15,9.20
2025-01-03T11:00:00Z,CAISO,NP15,-4.60
2025-01-03T12:00:00Z,CAISO,NP15,-12.10
2025-01-03T13:00:00Z,CAISO,NP15,-14.80
2025-01-03T14:00:00Z,CAISO,NP15,23.00
2025-01-03T15:00:00Z,CAISO,NP15,49.30
2025-01-03T16:00:00Z,CAISO,NP15,65.80
2025-01-03T17:00:00Z,CAISO,NP15,79.00
2025-01-03T18:00:00Z,CAISO,NP15,80.60
2025-01-03T19:00:00Z,CAISO,NP15,76.20
2025-01-03T20:00:00Z,CAISO,NP15,62.90
2025-01-03T21:00:00Z,CAISO,NP15,52.70
2025-01-03T22:00:00Z,CAISO,NP15,45.40
2025-01-03T23:00:00Z,CAISO,NP15,40.80
